,exp_name,env_name,seed,metric,env_step,value
148,ours,acrobot-swingup,1,avg_return,490000,345.22090527252811
149,ours,acrobot-swingup,1,avg_return,500000,143.88648441111673
150,ours,acrobot-swingup,1,avg_return,510000,558.88794598931531
151,ours,acrobot-swingup,1,avg_return,520000,435.34801226013343
152,ours,acrobot-swingup,1,avg_return,530000,549.61736333467911
153,ours,acrobot-swingup,1,avg_return,540000,332.91645210278273
154,ours,acrobot-swingup,1,avg_return,550000,440.99635876433712
155,ours,acrobot-swingup,1,avg_return,560000,313.23817985023567
156,ours,acrobot-swingup,1,avg_return,570000,696.75743118896139
157,ours,acrobot-swingup,1,avg_return,580000,464.50963532468904
158,ours,acrobot-swingup,1,avg_return,590000,311.97010131731855
159,ours,acrobot-swingup,1,avg_return,600000,401.33918718577064
160,ours,acrobot-swingup,1,avg_return,610000,404.80346611730926
161,ours,acrobot-swingup,1,avg_return,620000,512.72245582881862
162,ours,acrobot-swingup,1,avg_return,630000,283.24114551467034
163,ours,acrobot-swingup,1,avg_return,640000,648.86581006532754
164,ours,acrobot-swingup,1,avg_return,650000,556.10427062115491
165,ours,acrobot-swingup,1,avg_return,660000,304.74200271832626
166,ours,acrobot-swingup,1,avg_return,670000,534.13831439361616
167,ours,acrobot-swingup,1,avg_return,680000,391.55083222096226
168,ours,acrobot-swingup,1,avg_return,690000,449.39813420441476
169,ours,acrobot-swingup,1,avg_return,700000,439.4047862375088
170,ours,acrobot-swingup,1,avg_return,710000,531.85256061845052
171,ours,acrobot-swingup,1,avg_return,720000,511.37020916551228
172,ours,acrobot-swingup,1,avg_return,730000,559.85599211742328
173,ours,acrobot-swingup,1,avg_return,740000,744.46275702297532
174,ours,acrobot-swingup,1,avg_return,750000,541.94620623125138
175,ours,acrobot-swingup,1,avg_return,760000,437.46502763855858
176,ours,acrobot-swingup,1,avg_return,770000,379.50684785511743
177,ours,acrobot-swingup,1,avg_return,780000,592.3889277476444
178,ours,acrobot-swingup,1,avg_return,790000,525.72543245877046
179,ours,acrobot-swingup,1,avg_return,800000,514.90511488698962
180,ours,acrobot-swingup,1,avg_return,810000,445.14258393176078
181,ours,acrobot-swingup,1,avg_return,820000,650.01846153674444
182,ours,acrobot-swingup,1,avg_return,830000,511.7986408702867
183,ours,acrobot-swingup,1,avg_return,840000,359.0501807462
184,ours,acrobot-swingup,1,avg_return,850000,593.71772688715737
185,ours,acrobot-swingup,1,avg_return,860000,335.21598510795076
186,ours,acrobot-swingup,1,avg_return,870000,492.21775297337615
187,ours,acrobot-swingup,1,avg_return,880000,345.16955255691994
188,ours,acrobot-swingup,1,avg_return,890000,529.31848866851055
189,ours,acrobot-swingup,1,avg_return,900000,524.83752121818793
190,ours,acrobot-swingup,1,avg_return,910000,358.81177716657169
191,ours,acrobot-swingup,1,avg_return,920000,633.23384084480335
192,ours,acrobot-swingup,1,avg_return,930000,665.89765804541753
193,ours,acrobot-swingup,1,avg_return,940000,687.51455244984459
194,ours,acrobot-swingup,1,avg_return,950000,425.60858302494233
195,ours,acrobot-swingup,1,avg_return,960000,660.2663317387744
196,ours,acrobot-swingup,1,avg_return,970000,404.60055029186606
197,ours,acrobot-swingup,1,avg_return,980000,587.10328955848604
198,ours,acrobot-swingup,1,avg_return,990000,488.38986282152001
199,ours,acrobot-swingup,1,avg_return,1000000,518.6460280357835
200,ours,acrobot-swingup,2,avg_return,10000,21.575824186963025
201,ours,acrobot-swingup,2,avg_return,20000,23.360643896667113
202,ours,acrobot-swingup,2,avg_return,30000,93.605001866745553
203,ours,acrobot-swingup,2,avg_return,40000,39.658563206127297
204,ours,acrobot-swingup,2,avg_return,50000,27.294791671441981
205,ours,acrobot-swingup,2,avg_return,60000,28.018590399319521
206,ours,acrobot-swingup,2,avg_return,70000,56.630205478314316
207,ours,acrobot-swingup,2,avg_return,80000,75.540411285273748
208,ours,acrobot-swingup,2,avg_return,90000,107.78979353144817
209,ours,acrobot-swingup,2,avg_return,100000,292.76161491972266
210,ours,acrobot-swingup,2,avg_return,110000,290.08026507127096
211,ours,acrobot-swingup,2,avg_return,120000,240.63765397100588
212,ours,acrobot-swingup,2,avg_return,130000,324.23483344415774
213,ours,acrobot-swingup,2,avg_return,140000,146.51116978647127
214,ours,acrobot-swingup,2,avg_return,150000,260.73901041248007
215,ours,acrobot-swingup,2,avg_return,160000,367.42052200843017
216,ours,acrobot-swingup,2,avg_return,170000,355.87335112818238
217,ours,acrobot-swingup,2,avg_return,180000,312.13659020878652
218,ours,acrobot-swingup,2,avg_return,190000,291.46451481845622
219,ours,acrobot-swingup,2,avg_return,200000,342.27964549062312
220,ours,acrobot-swingup,2,avg_return,210000,336.58533759100709
221,ours,acrobot-swingup,2,avg_return,220000,314.27702084839365
222,ours,acrobot-swingup,2,avg_return,230000,351.30300398867968
223,ours,acrobot-swingup,2,avg_return,240000,487.38653967808568
224,ours,acrobot-swingup,2,avg_return,250000,425.21601479000628
225,ours,acrobot-swingup,2,avg_return,260000,338.30635960107423
226,ours,acrobot-swingup,2,avg_return,270000,26.300265091570715
227,ours,acrobot-swingup,2,avg_return,280000,347.3369963373533
228,ours,acrobot-swingup,2,avg_return,290000,115.67268005222016
229,ours,acrobot-swingup,2,avg_return,300000,256.28662323245356
230,ours,acrobot-swingup,2,avg_return,310000,163.19614044986156
231,ours,acrobot-swingup,2,avg_return,320000,316.86843429099679
232,ours,acrobot-swingup,2,avg_return,330000,315.07414599481615
233,ours,acrobot-swingup,2,avg_return,340000,492.51161130024394
234,ours,acrobot-swingup,2,avg_return,350000,348.79809351518986
235,ours,acrobot-swingup,2,avg_return,360000,401.9697139432929
236,ours,acrobot-swingup,2,avg_return,370000,370.27828638652306
237,ours,acrobot-swingup,2,avg_return,380000,494.17255371571264
238,ours,acrobot-swingup,2,avg_return,390000,438.93100290173862
239,ours,acrobot-swingup,2,avg_return,400000,196.5454480062921
240,ours,acrobot-swingup,2,avg_return,410000,155.01670227375928
241,ours,acrobot-swingup,2,avg_return,420000,248.95066629999982
242,ours,acrobot-swingup,2,avg_return,430000,243.54552795768853
243,ours,acrobot-swingup,2,avg_return,440000,509.784098530817
244,ours,acrobot-swingup,2,avg_return,450000,195.83392624508716
245,ours,acrobot-swingup,2,avg_return,460000,396.57649468184911
246,ours,acrobot-swingup,2,avg_return,470000,523.65315160343448
247,ours,acrobot-swingup,2,avg_return,480000,503.2150736303912
248,ours,acrobot-swingup,2,avg_return,490000,473.76347882450318
249,ours,acrobot-swingup,2,avg_return,500000,413.89908848485868
250,ours,acrobot-swingup,2,avg_return,510000,376.78134685877075
251,ours,acrobot-swingup,2,avg_return,520000,647.9155423196014
